ticker,has_prices,price_age_days,has_fundamentals,filing_age_days,has_market_cap,freshness_label
PNR,False,,False,,False,missing
PNW,False,,False,,False,missing
PODD,False,,False,,False,missing
POOL,False,,False,,False,missing
PPG,False,,False,,False,missing
PPL,True,3,True,73,True,fresh
PRU,True,3,True,81,True,fresh
PSA,True,3,True,7,True,fresh
PSKY,False,,False,,True,missing
PSX,True,3,True,5,True,fresh
PTC,False,,False,,True,missing
PUK,True,3,True,39,True,fresh
PWR,True,3,True,4,True,fresh
PYPL,True,3,True,90,True,fresh
Q,True,3,True,67,True,fresh
QCOM,True,3,True,5,True,fresh
QSR,True,3,True,73,True,fresh
RACE,True,3,True,74,True,fresh
RBLX,True,3,True,4,True,fresh
RCL,True,3,True,4,True,fresh
RDDT,True,3,True,3,False,fresh
REG,False,,False,,False,missing
REGN,True,3,True,5,True,fresh
RELX,True,3,True,74,True,fresh
RF,False,,False,,False,missing
RIO,True,3,True,74,True,fresh
RJF,True,3,True,87,True,fresh
RKLB,False,,True,67,False,missing
RKT,True,3,True,63,False,fresh
RL,False,,False,,False,missing
RMD,True,3,True,3,True,fresh
ROK,True,3,True,88,True,fresh
ROL,True,3,True,11,True,fresh
ROP,True,3,True,69,True,fresh
ROST,True,3,True,34,True,fresh
RPRX,True,3,True,82,True,fresh
RSG,True,3,True,75,True,fresh
RSHGY,True,3,False,,False,fresh
RTNTF,True,3,True,74,False,fresh
RTX,True,3,True,13,True,fresh
RVMD,True,3,True,68,True,fresh
RVTY,False,,False,,False,missing
RY,True,3,True,152,True,fresh
RYAAY,True,3,True,350,True,fresh
SAN,True,3,True,66,True,fresh
SAP,True,3,True,67,True,fresh
SATS,True,3,True,63,True,fresh
SBAC,False,,False,,False,missing
SBS,True,3,True,5,True,fresh
SBUX,True,3,True,6,True,fresh
SCCO,True,3,True,4,True,fresh
SCHW,True,3,True,68,True,fresh
SCMWY,True,3,True,6951,False,fresh
SE,True,3,True,17,False,fresh
SHEL,True,3,True,53,True,fresh
SHG,True,3,True,12,True,fresh
SHOP,True,3,True,82,False,fresh
SHW,True,3,True,6,True,fresh
SJM,False,,False,,False,missing
SLB,True,3,True,5,True,fresh
SLF,True,3,True,81,False,fresh
SMCI,False,,False,,False,missing
SMFG,True,3,True,311,True,fresh
SNA,False,,False,,False,missing
SNDK,True,3,True,94,True,fresh
SNOW,True,3,True,45,True,fresh
SNPS,True,3,True,68,True,fresh
SNY,True,3,True,76,True,fresh
SO,True,3,True,4,True,fresh
SOLV,False,,False,,False,missing
SONY,True,3,True,318,True,fresh
SPG,True,3,True,68,True,fresh
SPGI,True,3,True,6,True,fresh
SPOT,True,3,True,83,True,fresh
SRE,True,3,True,67,True,fresh
STE,False,,False,,False,missing
STLD,True,3,True,7,True,fresh
STM,True,3,True,67,True,fresh
STT,True,3,True,5,True,fresh
STX,True,3,True,5,True,fresh
STZ,True,3,True,12,False,fresh
SU,True,3,True,67,True,fresh
SUNB,True,3,True,53,True,fresh
SW,False,,False,,False,missing
SWK,False,,False,,False,missing
SWKS,False,,False,,False,missing
SYF,False,,False,,False,missing
SYK,True,3,True,82,True,fresh
SYM,True,3,True,89,True,fresh
SYY,True,3,True,5,True,fresh
T,True,3,True,7,True,fresh
TAK,True,3,True,313,True,fresh
TAP,False,,False,,False,missing
TCOM,True,3,True,6,True,fresh
TD,True,3,True,151,True,fresh
TDG,True,3,True,90,True,fresh
TDY,True,3,True,10,True,fresh
TECH,False,,False,,False,missing
TECK,True,3,True,74,False,fresh
TEL,True,3,True,10,True,fresh
TER,True,3,True,74,True,fresh
TEVA,True,3,True,5,True,fresh
TFC,True,3,True,69,True,fresh
TGT,True,3,True,54,True,fresh
TJX,True,3,True,34,True,fresh
TKO,False,,False,,False,missing
TM,True,3,True,320,True,fresh
TMO,True,3,True,67,True,fresh
TMUS,True,3,True,6,True,fresh
TPL,True,3,True,75,True,fresh
TPR,True,3,True,88,True,fresh
TRGP,True,3,True,74,True,fresh
TRI,True,3,True,60,True,fresh
TRMB,False,,False,,False,missing
TROW,False,,False,,False,missing
TRP,True,3,True,80,True,fresh
TRV,True,3,True,18,True,fresh
TS,True,3,True,34,True,fresh
TSCO,False,,False,,False,missing
TSLA,False,,True,11,False,missing
TSN,False,,False,,False,missing
TT,True,3,True,4,True,fresh
TTD,False,,False,,False,missing
TTE,True,3,True,38,True,fresh
TTWO,True,3,True,89,True,fresh
TXN,True,3,True,10,True,fresh
TXT,False,,False,,True,missing
TYL,False,,False,,True,missing
UAL,True,3,True,12,True,fresh
UBER,False,,True,80,True,missing
UBS,True,3,True,56,True,fresh
UDR,False,,False,,False,missing
UHS,False,,False,,False,missing
UI,True,3,True,87,True,fresh
UL,True,3,True,53,True,fresh
ULTA,False,,False,,False,missing
UMC,True,3,True,4,True,fresh
UNH,True,3,True,63,True,fresh
UNP,True,3,True,11,True,fresh
UPS,True,3,True,76,True,fresh
URI,True,3,True,12,True,fresh
USB,True,3,True,70,True,fresh
V,True,3,True,5,True,fresh
VALE,True,3,True,38,True,fresh
VG,True,3,True,63,False,fresh
VICI,True,3,True,5,True,fresh
VIK,True,3,True,62,False,fresh
VLO,True,3,True,4,True,fresh
VLTO,False,,False,,False,missing
VMC,True,3,True,5,True,fresh
VOD,True,3,True,332,True,fresh
VRSK,False,,False,,False,missing
VRSN,False,,False,,False,missing
VRT,True,3,True,12,True,fresh
VRTX,True,3,True,80,True,fresh
VST,True,3,True,66,True,fresh
VTR,True,3,True,6,True,fresh
VTRS,False,,False,,False,missing
VZ,True,3,True,3,True,fresh
WAB,True,3,True,12,True,fresh
WAT,True,3,True,70,True,fresh
WBD,True,3,True,66,True,fresh
WCN,True,3,True,11,True,fresh
WDAY,True,3,True,59,True,fresh
WDC,True,3,True,3,True,fresh
WEC,True,3,True,73,True,fresh
WELL,True,3,True,5,True,fresh
WFC,True,3,True,5,True,fresh
WM,True,3,True,5,True,fresh
WMB,True,3,True,69,True,fresh
WMT,True,3,True,52,True,fresh
WPM,True,3,True,34,True,fresh
WRB,False,,False,,False,missing
WSM,False,,False,,False,missing
WST,False,,False,,False,missing
WTW,True,3,True,4,True,fresh
WY,False,,False,,False,missing
WYNN,False,,False,,False,missing
XEL,True,3,True,4,True,fresh
XOM,True,3,True,75,True,fresh
XYL,True,3,True,6,True,fresh
XYZ,False,,True,67,False,missing
YUM,False,,True,73,False,missing
ZBH,False,,False,,False,missing
ZBRA,False,,False,,False,missing
ZM,False,,True,66,False,missing
ZTS,False,,True,81,False,missing
